FeatureCode,DateCode,Measurement,Units,Value,Industry Sector (SIC 07),Export Destination
S92000003,2006,Count,million pounds (GBP),1395,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2008,Count,million pounds (GBP),7385,"Wholesale, Retail and Repairs (Section G)",Total
S92000003,2005,Count,million pounds (GBP),7145,"Wholesale, Retail and Repairs (Section G)",Total
S92000003,2017,Count,million pounds (GBP),1890,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2009,Count,million pounds (GBP),610,"Wholesale, Retail and Repairs (Section G)",Non-EU
S92000003,2006,Count,million pounds (GBP),585,"Wholesale, Retail and Repairs (Section G)",Non-EU
S92000003,2017,Count,million pounds (GBP),760,"Wholesale, Retail and Repairs (Section G)",Non-EU
S92000003,2002,Count,million pounds (GBP),5245,"Wholesale, Retail and Repairs (Section G)",Total
S92000003,2008,Count,million pounds (GBP),1605,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2009,Count,million pounds (GBP),6945,"Wholesale, Retail and Repairs (Section G)",Total
S92000003,2009,Count,million pounds (GBP),1460,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2007,Count,million pounds (GBP),1560,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2012,Count,million pounds (GBP),7630,"Wholesale, Retail and Repairs (Section G)",Total
S92000003,2013,Count,million pounds (GBP),7910,"Wholesale, Retail and Repairs (Section G)",Total
S92000003,2010,Count,million pounds (GBP),6840,"Wholesale, Retail and Repairs (Section G)",Total
S92000003,2014,Count,million pounds (GBP),8555,"Wholesale, Retail and Repairs (Section G)",Total
S92000003,2005,Count,million pounds (GBP),1065,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2014,Count,million pounds (GBP),1690,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2013,Count,million pounds (GBP),1855,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2012,Count,million pounds (GBP),1190,"Wholesale, Retail and Repairs (Section G)",EU
S92000003,2002,Count,million pounds (GBP),995,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2006,Count,million pounds (GBP),805,"Wholesale, Retail and Repairs (Section G)",EU
S92000003,2004,Count,million pounds (GBP),640,"Wholesale, Retail and Repairs (Section G)",EU
S92000003,2008,Count,million pounds (GBP),960,"Wholesale, Retail and Repairs (Section G)",EU
S92000003,2016,Count,million pounds (GBP),1175,"Wholesale, Retail and Repairs (Section G)",EU
S92000003,2016,Count,million pounds (GBP),2015,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2017,Count,million pounds (GBP),1135,"Wholesale, Retail and Repairs (Section G)",EU
S92000003,2016,Count,million pounds (GBP),8635,"Wholesale, Retail and Repairs (Section G)",Total
S92000003,2009,Count,million pounds (GBP),850,"Wholesale, Retail and Repairs (Section G)",EU
